Episode,Date,Guests,Topics,Polls,Stream,ILoF on YT
86,20-Jun-2020,"cameos from Marty Lederman, Steve Vladeck",U.S. attorney appointment,,https://www.youtube.com/watch?v=duSBC8BANrc,
85,19-Jun-2020,Kathleen Belew (@kathleen_belew),white supremacy,,https://www.youtube.com/watch?v=Ud0juduEvEc,
84,18-Jun-2020,Marty Lederman,"Flynn, Bolton, courts",,https://www.youtube.com/watch?v=NCyLimk8VZU,
83,17-Jun-2020,Susan Hennessey (@Susan_Hennessey),"Bolton, classification",,https://www.youtube.com/watch?v=gfNZEIVhSqc,
82,16-Jun-2020,Alina Polyakova (@apolyakova),"Russia, disinformation",,https://www.youtube.com/watch?v=jDF8ZIChPXI,
81,15-Jun-2020,"Leah Litman, Anthony Michael Kries",supreme court (LGBT discrimination),,https://www.youtube.com/watch?v=zbxMG9Y9eB4,
80,14-Jun-2020,Mike Pesca (@pescami),inequality,,https://www.youtube.com/watch?v=evd6u9MoGsQ,
79,13-Jun-2020,(none),,,https://www.youtube.com/watch?v=52tnlmp6fIE,
78,12-Jun-2020,Catherine Rampell (@crampell),"pandemic response, economic impacts",,https://www.youtube.com/watch?v=nWYCgIqY55M,
77,11-Jun-2020,Bill Kristol (@BillKristol),politics,,https://www.youtube.com/watch?v=e0KrQ4efuAc,
76,10-Jun-2020,Matthew A. Miller (@matthewamiller),"DOJ, Bill Barr",,https://www.youtube.com/watch?v=FXQHiVi9H7s,
75,9-Jun-2020,Larry Lessig (@lessig),law and the Internet,,https://www.youtube.com/watch?v=_On2qqsaoYI,
74,8-Jun-2020,Matt Yglesias (@mattyglesias),journalism,,https://www.youtube.com/watch?v=eEJktEIn0Hg,
73,7-Jun-2020,Jonathan Rauch (@jon_rauch),"elections, influence",,https://www.youtube.com/watch?v=-jnsnUei1LA,
72,6-Jun-2020,(none),,,https://www.youtube.com/watch?v=KvktA5oGPt0,
71,5-Jun-2020,Gail Albert Halaban,art photography,,https://www.youtube.com/watch?v=Z_WpcZuXdRU,
70,4-Jun-2020,David French (@DavidAFrench),partisanship,,https://www.youtube.com/watch?v=jcaODo0BI_c,
69,3-Jun-2020,Clint Watts (@selectedwisdom),terrorism and influence,,https://www.youtube.com/watch?v=b_YBQZ2uXlQ,
68,2-Jun-2020,Alex Stamos (@alexstamos),content moderation,,https://www.youtube.com/watch?v=c0TDQ_m7K9E,
67,1-Jun-2020,Virginia Heffernan (@page88),journalism,,https://www.youtube.com/watch?v=6mKxbYLi-5c,
66,31-May-2020,Radley Balko (@radleybalko),police militarization,,https://www.youtube.com/watch?v=T6YEv3wPgc4,
65,30-May-2020,(none),,,https://www.youtube.com/watch?v=NI8dsIeZLuo,
64,29-May-2020,Barry Friedman,police accountability,,https://www.youtube.com/watch?v=3MbA0IDkbt0,
63,28-May-2020,"Eugene Volokh, Jack Balkin, Quinta Jurecic (@qjurecic)","executive orders, voting, moderation",,https://www.youtube.com/watch?v=B0urk6wOAoI,
62,27-May-2020,Paul Rosenzweig (@RosenzweigP),"evidence, investigation, subpoenas",,https://www.youtube.com/watch?v=HdGzvDrT3AY,
61,26-May-2020,John Q. Barrett,supreme court,,https://www.youtube.com/watch?v=eYBa3OZ5AzA,
60,25-May-2020,Surya Mattu (@suryamattu),facial recognition,,https://www.youtube.com/watch?v=1pnAfPBZpmk,
59,24-May-2020,Carissa Byrne Hessick (@CBHessick),"justice department, prosecution",,https://www.youtube.com/watch?v=nSfN26DGu_Y,
58,23-May-2020,(none),,,https://www.youtube.com/watch?v=H6oRsd1w--Y,
57,22-May-2020,"Ben Ponte, Alvin Cheung",art; Hong Kong,,https://www.youtube.com/watch?v=TN0nacauG2g,
56,21-May-2020,Reginald Dwayne Betts (@dwaynebetts),"slavery, history, incarceration",,https://www.youtube.com/watch?v=EmIG0lsjLqM,
55,20-May-2020,Whit Stillman,"film, stories",,https://www.youtube.com/watch?v=AqRCrypTYBc,
54,19-May-2020,Eric Landon,"pottery, crafts",,https://www.youtube.com/watch?v=mGFrjz_E2NY,
53,18-May-2020,Thyra Heder (@teerahater),"writing, stories, and creativity",,https://www.youtube.com/watch?v=1CeNW2cYXpU,
52,17-May-2020,Josh Marshall (@joshtpm),"journalism, business",,https://www.youtube.com/watch?v=tcENdhnjrfE,
51,16-May-2020,(none),,,https://www.youtube.com/watch?v=nnwL00PQBLk,
50,15-May-2020,Shane Harris (@shaneharris),"reporting, investigations, collusion",,https://www.youtube.com/watch?v=UIEkehoNq2A,
49,14-May-2020,Ken White (@popehat),"law, investigation, history of the pope hat",,https://www.youtube.com/watch?v=_kInOCJGko4,
48,13-May-2020,Tom Wheeler,"telecoms regulation, section 230",,https://www.youtube.com/watch?v=12uWhb9xbeI,
47,12-May-2020,Tim Miller (@Timodc),frog-boiling on the right,,https://www.youtube.com/watch?v=9yAuLRoKR8I,
